"p_ix","prolific_id","condition","gender","age","ins_time","tut_time","trial_time","total_time","comprehension_score","tutorial_tries","tutorial_keys","c1t1","c1t2","c1t3","c2t1","c2t2","c2t3","test1","test2","test3","test4","test5","c1t1_tries","c1t2_tries","c1t3_tries","c2t1_tries","c2t2_tries","c2t3_tries","test1_tries","test2_tries","test3_tries","test4_tries","test5_tries","total","m_steps","m_steps_successes","m_steps_failures","n_add","n_delete","n_corner","n_bar","n_move","n_rotate","n_flip","n_reflect","comments","bonus","test_rr1","test_rr2","test_f1","test_f2","test_both"
1,"5e3ddcf95556b204cb143eab","train_flower","","31",6.22,1.81,14.68,22.7,3,"1,3,1,1,1,5,1,1,2","2,14,2,2,3,19,5,3,20",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,5,5,5,5,5,5,5,2,20.1111111111111,19.5,20.1470588235294,17,56,56,43,208,121,82,114,"i think i was confused that ALL TILES will move alltogether",0.4,FALSE,FALSE,TRUE,FALSE,FALSE
2,"63f77a5dde1ea03305e119e0","train_reflect","","32",3.04,1.51,26.88,31.43,3,"1,1,1,1,1,1,1,1,2","2,6,2,2,3,3,5,3,14",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,8,8,2,0,0,0,1,5,1,1,5,5,25.7096774193548,17,27.3846153846154,43,42,15,46,320,88,8,226,"It took me a while to get a handle on it  often I still felt as though my results were from luck and trialerror rather than spatial reasoning",1,TRUE,FALSE,TRUE,TRUE,TRUE
3,"58a9acb966e4640001c53a7f","train_reflect","","35",4.1,1.03,23.82,28.94,3,"1,1,1,1,1,1,1,1,1","2,4,2,2,3,3,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,1,0,0,0,1,2,1,1,1,8,15.7692307692308,14,18.6,14,4,4,12,89,27,11,32,"It became a lot easier once I took advantage of the rotate and reflect functions",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
4,"65313bdcb9fd825a8c1d4981","train_flower","","45",3.96,0.91,20.59,25.46,4,"2,1,1,1,1,1,1,1,1","4,7,2,2,3,3,5,3,10",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,4,3,7,5,5,5,5,4,10.5897435897436,11.5,10.4857142857143,4,22,67,15,141,32,17,76,"Was fun but hard ",0.8,FALSE,FALSE,TRUE,FALSE,FALSE
5,"6745c21dc57fa61bad7e6021","train_reflect","","27",7.52,1.75,50.8,60.07,4,"1,2,2,1,1,1,1,1,1","2,19,4,2,3,3,5,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,5,5,0,0,0,5,5,5,3,3,2,27.0277777777778,21.5,27.3529411764706,219,100,29,5,503,57,8,43,"I found it difficult initially but figured it out towards the end Corner pieces with single tiles added on to the ends of them to create one quadrant followed by reflections and rotations",0.4,FALSE,FALSE,FALSE,TRUE,TRUE
6,"62a746cdc24be0dc08d934ab","train_flower","","30",26.55,2.9,47.47,76.93,2,"2,2,1,1,1,2,1,1,1","5,40,2,2,3,18,7,3,20",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,6,10,5,5,5,5,5,5,0,20.5217391304348,NA,20.5217391304348,21,62,149,23,308,50,84,218,"It was so difficult Enjoyable at first but it just became frustating because the navigations werent as easy as the tutorials made it seem Maybe if we had practiced actual examples in the tutorial could have been more helpful for the actual exercise",0,FALSE,FALSE,FALSE,FALSE,FALSE
7,"679e81108eebf65d6f83c490","train_reflect","","42",13.75,4.78,53.16,71.69,3,"1,2,1,1,4,1,4,1,1","2,21,2,5,34,4,30,3,13",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,25.625,NA,25.625,52,56,64,53,543,117,42,84,"i did not enjoy the task because it was difficult to solve",0,FALSE,FALSE,FALSE,FALSE,FALSE
8,"5fa4c21a04bc5912180291bc","train_reflect","","43",3.16,1.89,40.7,45.75,5,"1,1,1,1,1,1,1,1,1","2,10,2,2,3,3,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,11,1,0,0,0,6,22,3,1,1,8,9.375,14.875,8.275,10,31,49,23,150,49,15,75,"one of the most important first rules to establish for myself is reminding myself that so long as the task is completed to your specifications and within limits i am at liberty to undertake your tools for my disposal at my total discretionthere is no wrong way to win so long as i follow your overall established rulesassuming you were tracking each of my attempts you mightve noticed indeed i had substantiallyless trouble with what i can only presume were to be the last remaining moredifficult trials in comparison to the one in the middlemy troubles there are more due to my own inability with spatial plotting wellof course",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
9,"665af670c32544bf63236164","train_reflect","","44",5.55,0.98,45.16,51.69,5,"1,1,1,1,1,1,1,1,1","2,4,2,2,3,3,11,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,5,5,0,0,0,5,5,2,5,5,2,26.2162162162162,28,26.1142857142857,206,56,4,3,649,15,10,15,"After the tutorial I was unclear that all pieces moved together which was difficult to get used to Maybe thats poor comprehension on my part but I dont recall reading that info",0.4,FALSE,TRUE,TRUE,FALSE,FALSE
10,"6658c5911429bc1ab0372a89","train_reflect","","39",20.39,1.5,65.76,87.65,4,"2,1,1,2,1,2,1,1,1","4,15,2,6,3,13,5,3,12",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,5,8,0,0,0,7,7,1,5,5,1,25,26,24.9772727272727,110,59,38,26,762,44,31,33,"very frustrating i dont think the instructions made it clear that the tiles are set in place once they are placed",0.2,FALSE,FALSE,TRUE,FALSE,FALSE
