"p_ix","prolific_id","condition","trial","attempt","actions","keycodes","success","trial_type","trial_solution","train_test"
1,"5e3ddcf95556b204cb143eab","train2_flower",1,1,"65,87,82,90,32,32,32,90,32,32,90,32,32,90,32,32,32,32,68,82","AWRZKKKZKKZKKZKKKKDRL",TRUE,"train_f1","ZXDR","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",2,1,"87,65,87,87,90","WAWWZL",FALSE,"train_f2","ZXDRWWE","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",2,2,"90,87,87,69,69,87,82,87,87,87,70,70,70,70","ZWWEEWRWWWFFFFL",FALSE,"train_f2","ZXDRWWE","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",2,3,"88,87,69,87,70,70,82,82,90,82,90,70,87,87,69,68,88,88,70,87,87,87,68,82,87,87,82,82,82","XWEWFFRRZRZFWWEDXXFWWWDRWWRRRE",FALSE,"train_f2","ZXDRWWE","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",2,4,"90,70,70,90,70,70,90,87,87,88,87,88,87,88,69,87,68","ZFFZFFZWWXWXWXEWDL",FALSE,"train_f2","ZXDRWWE","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",2,5,"83,68,70,68,70,82,82","SDFDFRRL",FALSE,"train_f2","ZXDRWWE","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",3,1,"90,87,90,70,69,90,88,70,70,69,87,87,83,90,87,87,70","ZWZFEZXFFEWWSZWWFL",FALSE,"train_f3","ZXDRWWF","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",3,2,"90,82,88,82,69","ZRXREL",FALSE,"train_f3","ZXDRWWF","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",3,3,"87,69,70,82,69,82,82","WEFRERRL",FALSE,"train_f3","ZXDRWWF","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",3,4,"70,69,82,82,82","FERRRL",FALSE,"train_f3","ZXDRWWF","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",3,5,"69,68,70,82,69,82","EDFRERL",FALSE,"train_f3","ZXDRWWF","train"
1,"5e3ddcf95556b204cb143eab","train2_flower",4,1,"88,82,90,32,32,32,32,32,32,32,32,88,82,88,88,32,32,32,32,32,90,87,82,68","XRZKKKKKKKKXRXXKKKKKZWRDL",FALSE,"test_rr1","ZKKWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",4,2,"65,87,70,82,69,70,82,69,82,83,83,83","AWFREFRERSSSL",FALSE,"test_rr1","ZKKWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",4,3,"90,32,82,32,32,88,82,32,32","ZKRKKXRKKL",FALSE,"test_rr1","ZKKWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",4,4,"87,68,69,87,70,82,69,70,82,69,70","WDEWFREFREFL",FALSE,"test_rr1","ZKKWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",4,5,"82,68,87,69,68,87,69,68,88,65,90,88,68,82,82,87,82","RDWEDWEDXAZXDRRWRL",TRUE,"test_rr1","ZKKWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",5,1,"69,87,69,87,82,32,69,82,87,87,69,69,32","EWEWRKERWWEEKL",FALSE,"test_rr2","ZKKDWWRKRKR","test"
1,"5e3ddcf95556b204cb143eab","train2_flower",5,2,"87,87,68,87,69,70,69,82,90,83,68,90,68,68,32,83,82,69,82,82,32,82,32,69,82,32,32,70","WWDWEFERZSDZDDKSRERRKRKERKKFL",FALSE,"test_rr2","ZKKDWWRKRKR","test"
